"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Social Networks during Software Ecosystems’ Death","P. Arantes; F. Soupinski; A. Fontão","FACOM/UFMS, Campo Grande, MS, Brazil; FACOM/UFMS, Campo Grande, MS, Brazil; FACOM/UFMS, Campo Grande, MS, Brazil","2023 IEEE/ACM 11th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS)","27 Jul 2023","2023","","","9","12","Software Ecosystems (SECO) depend on platforms that serve as environments for developers’ interaction. The SECO may die when the organization that owns the platform does not support the synergy between organizational goals and developers’ expectations. The death results in the suspension of vital activities, such as code development and maintenance, impacting developers who lose work, learning, and experience gained. On the other hand, the responsible corporation loses resources invested in SECO. These signs indicate a SECO death is an important event for the community and should be analyzed. This paper reports a GitHub (GH) study focusing on three web SECOs: AngularJS, PhantomJS, and MomentJS. We analyze metrics based on developer community engagement and collaboration to understand what happens in these SECOs before, during, and after the platform’s death. From the search questions, we found some directions: Users’ recruitment and permanence: Without management and engagement, communities get out of SECOS a few years after your entry, so methods to control and organize the community are needed. Community relationships: The community needs engagement to strengthen and maintain your relationships. Some types of programs are useful methods to engage and encourage users to collaborate between them.","","979-8-3503-0174-8","10.1109/SESoS59159.2023.00007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190619","software ecosystem;death platform;death ecosystem","Measurement;Social networking (online);Ecosystems;Focusing;Organizations;Maintenance engineering;Software","software maintenance","AngularJS;code development;code maintenance;developer community engagement;GitHub;MomentJS;organizational goals;PhantomJS;SECO death;social networks;software ecosystems;user permanence;user recruitment;Web SECOs","","","","6","IEEE","27 Jul 2023","","","IEEE","IEEE Conferences"
"Program Learning Using Static Information and Dynamic Program Execution Slices","J. Sawamoto; E. Sugino; N. Segawa; Y. Wada","Faculty of Software and Information Science Department, Iwate Prefectural University, Iwate, Japan; Faculty of Software and Information Science Department, Iwate Prefectural University, Iwate, Japan; Faculty of Software and Information Science Department, Iwate Prefectural University, Iwate, Japan; Department of Information Environment, Tokyo Denki University, Inzai, Chiba, Japan","2010 IEEE 24th International Conference on Advanced Information Networking and Applications Workshops","7 Jun 2010","2010","","","157","162","Nowadays, we can easily obtain a copy of practically any used program in our open source community for learning. However, the reality is that the level of such practically used programs is often complex and of such a large scale so that it is not as easy to understand them as one might expect. We believe that we do need some kind of environment to help the learner read and understand programs. Learning programs is necessary for other reasons such as program maintenance, reuse of programs. In this research, we built a model to use for program understanding. Using it, we examined possible ways of supporting program learning. Based on that, the objective of this paper is to present our efforts at developing a program learning environment, which helps narrow down the scope of a program to facilitate reading and understanding it while finding the differences of such dynamic information, as found in the program execution history, and also provide an environment in which the learner can use static information. We evaluate the efficiency of the proposed program learning environment through experiments.","","978-1-4244-6702-0","10.1109/WAINA.2010.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5480864","program understanding;program learning;execution history;program reuse;program maintenance","History;Large-scale systems;Application software;Conferences;Open source software;Information science;Costs;Programming;Documentation","learning systems;programming environments;public domain software;software maintenance;software reusability","static information;dynamic program execution slices;open source community;practically used programs;program maintenance;program reusability;program understanding;program learning environment;dynamic information;program execution history;learner","","","","9","IEEE","7 Jun 2010","","","IEEE","IEEE Conferences"
"Company Health in Mobile Software Ecosystem (MSECO): Research Perspectives and Challenges","M. I. Calderon Ribeiro; A. C. Dias-Neto","Computer Institute: ICOMP, UFAM, Manaus, Brazil; Computer Institute: ICOMP, UFAM, Manaus, Brazil","2017 IEEE/ACM Joint 5th International Workshop on Software Engineering for Systems-of-Systems and 11th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems (JSOS)","29 Jun 2017","2017","","","74","75","This paper presents initial perspectives in the searchfor diagnosing the health of a Mobile Software Ecosystem(MSECO) company. The research intends to investigate a companys health through user reviews about mobile applications (Apps)and build and present indicators that can identify problems, failures and differences in the quality of the apps to guide thecompany in the search for ""immunization"" or ""medication"" sothat it does not become ""sick"" from the adoption of measuresrelated to the use of indicators for the type of ""disease"".","","978-1-5386-2799-0","10.1109/JSOS.2017.3","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961699","Health;MSECO;indicator;Diagnosis","Ecosystems;Software;Companies;Data mining;Software engineering;Mobile communication;Conferences","mobile computing;software fault tolerance;software houses;software quality","software medication;software immunization;mobile application quality;mobile software ecosystem company health diagnosis;MSECO","","2","","16","IEEE","29 Jun 2017","","","IEEE","IEEE Conferences"
"TypeScript’s Evolution: An Analysis of Feature Adoption Over Time","J. D. Scarsbrook; M. Utting; R. K. L. Ko","School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, Australia","2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR)","12 Jul 2023","2023","","","109","114","TypeScript is a quickly evolving superset of JavaScript with active development of new features. Our paper seeks to understand how quickly these features are adopted by the developer community. Existing work in JavaScript shows the adoption of dynamic language features can be a major hindrance to static analysis. As TypeScript evolves the addition of features makes the underlying standard more and more difficult to keep up with. In our work we present an analysis of 454 open source TypeScript repositories and study the adoption of 13 language features over the past three years. We show that while new versions of the TypeScript compiler are aggressively adopted by the community, the same cannot be said for language features. While some experience strong growth others are rarely adopted by projects. Our work serves as a starting point for future study of the adoption of features in TypeScript. We also release our analysis and data gathering software as open source in the hope it helps the programming languages community.","2574-3864","979-8-3503-1184-6","10.1109/MSR59073.2023.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10174097","TypeScript;JavaScript;Data Mining","Computer languages;Codes;Ecosystems;Static analysis;Software;Data mining;Standards","Java;program compilers;program diagnostics","454 open source TypeScript repositories;active development;developer community;dynamic language features;feature adoption;JavaScript;programming languages community;quickly evolving superset;static analysis;TypeScript compiler;TypeScript's evolution;underlying standard","","","","19","IEEE","12 Jul 2023","","","IEEE","IEEE Conferences"
"Towards a new digital business operating system: Speed, data, ecosystems, and empowerment (keynote)","J. Bosch","Department of Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","5 Apr 2018","2018","","","2","2","We are living in the most exciting time in the history of mankind. The last century has seen unprecedented improvements in the quality of the human condition and technology is at the heart of this progress. Now we are experiencing an even bigger leap as we move towards a new level of digitalization and automation. Ranging from self-driving cars to factories without workers to societal infrastructure, every sensor and actuator is becoming connected and new applications that enable new opportunities are appearing daily. The fuel of this emerging connected, software-driven reality is software and the key challenge is to continuously deliver value to customers. The future of software engineering in this context is centered around a new, emerging digital business operating system consisting of four dimensions: Speed, Data, Ecosystems and Empowerment. The focus on speed is concerned with the constantly increasing rate of deploying new software in the field. This continuous integration and deployment is no longer only the purview of internet companies but is also increasingly deployed in embedded systems. Second, data is concerned with the vast amounts of information collected from systems deployed in the field and the behavior of the users of these systems. Software businesses need to significantly improve their ability to exploit the value present in that data. Third, ecosystems are concerned with the transition in many companies from doing everything in-house to strategic use of innovation partners and commodity providing partners. Finally, we need new ways of organizing work in this new, digital age. The keynote discusses these four main developments but focuses on the continuous software engineering. Also, the keynote provides numerous examples from the Nordic and international industry and predicts the next steps that industry and academia need to engage in to remain competitive.","","978-1-5386-4969-5","10.1109/SANER.2018.8330190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330190","Speed;data-driven development;software ecosystems;empowered organization","Software;Ecosystems;Technological innovation;Companies;Software architecture;Industries;Urban areas","","","","","","","IEEE","5 Apr 2018","","","IEEE","IEEE Conferences"
"A Large-Scale Security-Oriented Static Analysis of Python Packages in PyPI","J. Ruohonen; K. Hjerppe; K. Rindell","University of Turku, Finland; University of Turku, Finland; University of Turku, Finland","2021 18th International Conference on Privacy, Security and Trust (PST)","21 Dec 2021","2021","","","1","10","Different security issues are a common problem for open source packages archived to and delivered through software ecosystems. These often manifest themselves as software weaknesses that may lead to concrete software vulnerabilities. This paper examines various security issues in Python packages with static analysis. The dataset is based on a snapshot of all packages stored to the Python Package Index (PyPI). In total, over 197 thousand packages and over 749 thousand security issues are covered. Even under the constraints imposed by static analysis, (a) the results indicate prevalence of security issues; at least one issue is present for about 46% of the Python packages. In terms of the issue types, (b) exception handling and different code injections have been the most common issues. The subprocess module stands out in this regard. Reflecting the generally small size of the packages, (c) software size metrics do not predict well the amount of issues revealed through static analysis. With these results and the accompanying discussion, the paper contributes to the field of large-scale empirical studies for better understanding security problems in software ecosystems.","","978-1-6654-0184-5","10.1109/PST52912.2021.9647791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647791","Bug;defect;issue;smell;vulnerability;weakness;repository;ecosystem;static analysis;linting;Bandit;PyPI","Measurement;Privacy;Codes;Ecosystems;Static analysis;Software;Security","program diagnostics;Python;security of data;software maintenance;software metrics;software packages","large-scale security-oriented static analysis;PyPI;open source packages;software ecosystems;software weaknesses;concrete software vulnerabilities;Python package index;software size metrics","","8","","80","IEEE","21 Dec 2021","","","IEEE","IEEE Conferences"
"Assessing open source communities' health using Service Oriented Computing concepts","M. Oriol; O. Franco-Bedoya; X. Franch; J. Marco","Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES; Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES; Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES; Universitat Politecnica de Catalunya, Barcelona, Catalunya, ES","2014 IEEE Eighth International Conference on Research Challenges in Information Science (RCIS)","21 Jul 2014","2014","","","1","6","The quality of Open Source Software products is directly related to its community's health. To date, health analysis is made accessing available data repositories or using software management tools that are often too static or ad hoc. To address this issue, we propose to adopt principles and methods from the Service Oriented Computing field. Particularly, we propose to adapt the concepts of quality service and service level agreement, and propose to reuse the existing body of knowledge and techniques from SOC monitoring. To demonstrate the feasibility of the approach, we use a service monitoring framework called SALMonOSS as a proof of concept to realize the implementation of the proposal.","2151-1357","978-1-4799-2393-9","10.1109/RCIS.2014.6861064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6861064","Monitoring;Open Source Software;Community Health;OSS;SOC","Monitoring;Communities;System-on-chip;Measurement;Software;Instruments;Quality of service","contracts;health care;medical administrative data processing;public domain software;software quality","open source community health;service oriented computing concepts;open source software product quality;health analysis;data repositories;software management tools;quality service;service level agreement;SALMonOSS framework;service monitoring framework","","4","","31","IEEE","21 Jul 2014","","","IEEE","IEEE Conferences"
"Structure and Evolution of Package Dependency Networks","R. Kikas; G. Gousios; M. Dumas; D. Pfahl","University of Tartu, Tartu, Estonia; Delft University of Technology, Delft, The Netherlands; University of Tartu, Tartu, Estonia; University of Tartu, Tartu, Estonia","2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR)","3 Jul 2017","2017","","","102","112","Software developers often include available open-source software packages into their projects to minimize redundant effort. However, adding a package to a project can also introduce risks, which can propagate through multiple levels of dependencies. Currently, not much is known about the structure of open-source package ecosystems of popular programming languages and the extent to which transitive bug propagation is possible. This paper analyzes the dependency network structure and evolution of the JavaScript, Ruby, and Rust ecosystems. The reported results reveal significant differences across language ecosystems. The results indicate that the number of transitive dependencies for JavaScript has grown 60% over the last year, suggesting that developers should look more carefully into their dependencies to understand what exactly is included. The study also reveals that vulnerability to a removal of the most popular package is increasing, yet most other packages have a decreasing impact on vulnerability. The findings of this study can inform the development of dependency management tools.","","978-1-5386-1544-7","10.1109/MSR.2017.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962360","software evolution;dependency management;software ecosystems;mining software repositories","Ecosystems;Computer languages;Computer bugs;Tools;Libraries;Software packages","public domain software;software maintenance;software packages;system recovery","package dependency network structure;package dependency network evolution;redundant effort minimization;open-source package ecosystems;programming languages;transitive bug propagation;JavaScript ecosystem;Ruby ecosystem;Rust ecosystem;language ecosystems;number-of-transitive dependencies;dependency management tool development","","81","","30","IEEE","3 Jul 2017","","","IEEE","IEEE Conferences"
"Feature-oriented development in industrial automation software ecosystems: Development scenarios and tool support","H. Prähofer; D. Rabiser; F. Angerer; P. Grünbacher; P. Feichtinger","Institute for System Software, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory MEVSS, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory MEVSS, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory MEVSS, Johannes Kepler University Linz, Austria; Christian Doppler Laboratory MEVSS, Johannes Kepler University Linz, Austria","2016 IEEE 14th International Conference on Industrial Informatics (INDIN)","19 Jan 2017","2016","","","1218","1223","Due to increased market demands for highly customized and machine-specific solutions in manufacturing, industrial software systems are often developed as software product lines (SPL) and organized as software ecosystems (SECO) with internal and external developers composing individual solutions based on a common technological platform. In such settings, software development usually occurs in a multistage process: system variants initially derived from a platform are adapted and extended to meet specific requirements. This common approach, however, results in significant challenges for software development and maintenance. In this paper we review key challenges we have been observing when investigating our industrial partner's software ecosystems. We then present a feature-oriented development approach we have been developing to tackle those. Our approach is backed with static analysis methods to deal with system variants and versions created in software maintenance.","2378-363X","978-1-5090-2870-2","10.1109/INDIN.2016.7819353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7819353","","Software;Automation;Computational modeling;Hardware;Analytical models;Ecosystems;Oils","factory automation;production engineering computing;program diagnostics;software maintenance;software product lines","feature-oriented development;industrial automation software ecosystems;industrial software systems;software product lines;SPL;SECO;software development;software maintenance;static analysis methods","","5","","29","IEEE","19 Jan 2017","","","IEEE","IEEE Conferences"
"Whole Person Integrated Care (WPIC): A healthcare transformation strategy supported by a novel spreadsheet-based software framework","S. E. Beller; S. J. Monatesti; P. Bachman","National Health Data Systems, NY, USA; ES Enterprises, PA, USA; Cequs, PA, USA","2017 IEEE Global Humanitarian Technology Conference (GHTC)","25 Dec 2017","2017","","","1","10","This paper describes a humanitarian healthcare transformation strategy called Whole Person Integrated Care (WPIC). WPIC couples a Spreadsheet-based Software Framework (SSF) and a care delivery model that focus on increasing efficiency and effectiveness through evidence-based knowledge and action. This strategy: 1) integrates “sick care” (treatment of health problems) with “well care” (prevention and self-management) and 2) addresses both physical and psychological problems affecting a patient's health. The SSF currently utilizes Microsoft Excel to create simple, low-cost, and flexible software solutions that capture, import, export, transform, integrate, organize, store, analyze, render, and exchange data and information. Using a node-to-node (point-to-point) network architecture, clinicians, researchers, patients, and others can connect securely and resiliently, anywhere and anytime, across national and organizational boundaries. This allows collaborators to build, share, evaluate, and evolve evidence-based knowledge and analytic models. The shared knowledge and models are used to make projections, reveal existing problems, identify risks, and offer solutions that support decisions for clinical and business process improvement. The paper also describes an SSF application recently piloted in a Federal health information technology program, and proposes an open source community.","","978-1-5090-6046-7","10.1109/GHTC.2017.8239223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8239223","analytical;biopsychosocial;collaboration;data exchange;decision support;framework;health information technology;healthcare;models;network architecture","Software;Medical services;Data models;Mathematical model;Psychology;Collaboration;Adaptation models","health care;medical information systems;psychology;spreadsheet programs","spreadsheet;software framework;humanitarian healthcare transformation strategy;WPIC couples;SSF;care delivery model;evidence-based knowledge;sick care;health problems;physical problems;psychological problems;patient;flexible software solutions;shared knowledge;Federal health information technology program;Whole Person Integrated Care;node-to-node network architecture;point-to-point network architecture","","","","44","IEEE","25 Dec 2017","","","IEEE","IEEE Conferences"
