"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Empirical Analysis of Security Vulnerabilities in Python Packages","M. Alfadel; D. E. Costa; E. Shihab","Data-driven Analysis of Software (DAS) Lab, Concordia University, Montreal, Canada; Data-driven Analysis of Software (DAS) Lab, Concordia University, Montreal, Canada; Data-driven Analysis of Software (DAS) Lab, Concordia University, Montreal, Canada","2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","11 May 2021","2021","","","446","457","Software ecosystems play an important role in modern software development, providing an open platform of reusable packages that speed up and facilitate development tasks. However, this level of code reusability supported by software ecosystems also makes the discovery of security vulnerabilities much more difficult, as software systems depend on an increasingly high number of packages. Recently, security vulnerabilities in the npm ecosystem, the ecosystem of Node.js packages, have been studied in the literature. As different software ecosystems embodied different programming languages and particularities, we argue that it is also important to study other popular programming languages to build stronger empirical evidence about vulnerabilities in software ecosystems.In this paper, we present an empirical study of 550 vulnerability reports affecting 252 Python packages in the Python ecosystem (PyPi). In particular, we study the propagation and life span of security vulnerabilities, accounting for how long they take to be discovered and fixed. Our findings show that the discovered vulnerabilities in Python packages are increasing over time, and they take more than 3 years to be discovered. The majority of these vulnerabilities (50.55%) are only fixed after being publicly announced, giving ample time for attackers exploitation. We find similarities in some characteristics of vulnerabilities in PyPi and npm and divergences that can be attributed to specific PyPi policies. By leveraging our findings, we provide a series of implications that can help the security of software ecosystems by improving the process of discovering, fixing and managing package vulnerabilities.","1534-5351","978-1-7281-9630-5","10.1109/SANER50967.2021.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425974","python;pypi;packages;vulnerabilities;empirical studies","Software packages;Conferences;Ecosystems;Tools;Software systems;Software;Timing","ecology;project management;public domain software;security of data;software packages;software reusability","software systems;security vulnerabilities;npm ecosystem;vulnerability reports;Python packages;Python ecosystem;discovered vulnerabilities;modern software development;reusable packages;software ecosystems;package vulnerabilities management;time 3.0 year","","27","","65","IEEE","11 May 2021","","","IEEE","IEEE Conferences"
"Dependency Smells in JavaScript Projects","A. J. Jafari; D. E. Costa; R. Abdalkareem; E. Shihab; N. Tsantalis","Department of Computer Science and Software Engineering, Data-Driven Analysis of Software (DAS) Lab, Concordia University, Montreal, QC, Canada; Department of Computer Science and Software Engineering, Data-Driven Analysis of Software (DAS) Lab, Concordia University, Montreal, QC, Canada; School of Computer Science, Carleton University, Ottawa, ON, Canada; Department of Computer Science and Software Engineering, Data-Driven Analysis of Software (DAS) Lab, Concordia University, Montreal, QC, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada","IEEE Transactions on Software Engineering","18 Oct 2022","2022","48","10","3790","3807","Dependency management in modern software development poses many challenges for developers who wish to stay up to date with the latest features and fixes whilst ensuring backwards compatibility. Project maintainers have opted for varied, and sometimes conflicting, approaches for maintaining their dependencies. Opting for unsuitable approaches can introduce bugs and vulnerabilities into the project, introduce breaking changes, cause extraneous installations, and reduce dependency understandability, making it harder for others to contribute effectively. In this paper, we empirically examine evidence of recurring dependency management issues (dependency smells). We look at the commit data for a dataset of 1,146 active JavaScript repositories to catalog, quantify and understand dependency smells. Through a series of surveys with practitioners, we identify and quantify seven dependency smells with varying degrees of popularity and investigate why they are introduced throughout project history. Our findings indicate that dependency smells are prevalent in JavaScript projects with two or more distinct smells appearing in 80 percent of the projects, but they generally infect a minority of a project’s dependencies. Our observations show that the number of dependency smells tend to increase over time. Practitioners agree that dependency smells bring about many problems including security threats, bugs, dependency breakage, runtime errors, and other maintenance issues. These smells are generally introduced as developers react to dependency misbehaviour and the shortcomings of the npm ecosystem.","1939-3520","","10.1109/TSE.2021.3106247","Concordia University's Faculty Research & Ethics Advisory Committee(grant numbers:30004729); Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9519532","Dependency smells;software ecosystems;dependency management;npm","Ecosystems;Guidelines;Semantics;Runtime;Tools;Computer science;Computer bugs","formal specification;Java;program debugging;security of data;software maintenance","dependency breakage;dependency management issues;dependency misbehaviour;dependency smells;dependency understandability;javascript projects;JavaScript repositories;maintenance issues;npm ecosystem;project history;project maintainers;security threats","","8","","51","IEEE","19 Aug 2021","","","IEEE","IEEE Journals"
"Toward Using Package Centrality Trend to Identify Packages in Decline","S. Mujahid; D. E. Costa; R. Abdalkareem; E. Shihab; M. A. Saied; B. Adams","Data-Driven Analysis of Software (DAS) Lab at the Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada; Data-Driven Analysis of Software (DAS) Lab at the Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada; School of Computer Science, Carleton University, Ottawa, ON, Canada; Data-Driven Analysis of Software (DAS) Lab at the Department of Computer Science and Software Engineering, Concordia University, Montreal, QC, Canada; Department of Computer Science and Software Engineering, Laval University, Quebec City, QC, Canada; School of Computing, Queen’s University, Kingston, ON, Canada","IEEE Transactions on Engineering Management","3 Nov 2022","2022","69","6","3618","3632","Due to their increasing complexity, today’s software systems are frequently built by leveraging reusable code in the form of libraries and packages. Software ecosystems (e.g., npm) are the primary enablers of this code reuse, providing developers with a platform to share their own and use others’ code. These ecosystems evolve rapidly: developers add new packages every day to solve new problems or provide alternative solutions, causing obsolete packages to decline in their importance to the community. Developers should avoid depending on packages in decline, as these packages are reused less over time and may become less frequently maintained. However, current popularity metrics (e.g., Stars, and Downloads) are not fit to provide this information to developers because their semantics do not aptly capture shifts in the community interest. In this article, we propose a scalable approach that uses the package’s centrality in the ecosystem to identify packages in decline. We evaluate our approach with the npm ecosystem and show that the trends of centrality over time can correctly distinguish packages in decline with an ROC–AUC of 0.9. The approach can capture 87% of the packages in decline, on average 18 months before the trend is shown in currently used package popularity metrics. We implement this approach in a tool that can be used to augment the npms metrics and help developers avoid packages in decline when reusing packages from npm.","1558-0040","","10.1109/TEM.2021.3122012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9631870","Dependency graph;JavaScript;package quality;package in decline;npm","Ecosystems;Software systems;Scalability;Software development management","object-oriented programming;public domain software;software maintenance;software packages;software reusability","obsolete packages;package centrality trend;package popularity metrics;reusable code;reusing packages;software ecosystems","","4","","67","IEEE","1 Dec 2021","","","IEEE","IEEE Journals"
"Maximizing the Efficiency of Automotive Software Development Environment Using Open Source Technologies","S. Niæetin; R. Šandor; G. Stupar; N. Tesliæ","RT-RK Institure for Computer Based Systems, Novi Sad, Serbia; RT-RK Institure for Computer Based Systems, Novi Sad, Serbia; Faculty of Technical Sciences, Novi Sad, Serbia; Faculty of Technical Sciences, Novi Sad, Serbia","2018 IEEE 8th International Conference on Consumer Electronics - Berlin (ICCE-Berlin)","16 Dec 2018","2018","","","1","3","The automotive industry is undergoing dramatic changes nowadays. New functionalities, such as complex digital cockpit solutions, driver assistance algorithms and more, are all software based. The shortening of the development time while maintaining a high quality of software releases is an uneasy task. Many solutions in this regard exist in the industry. However, the cost prevents the wider developer community from participating on fair terms. In this paper, we argue that many open source technologies and frameworks can be utilized in addition to field proven automotive development software. This way the total cost of the development, and time needed for testing and error checking can be reduced. Specifically, we extend the basic development process by utilizing open source build automation tools and servers to decrease the build and unit test time, and incorporate code based analysis tools for static and dynamic analysis. These tools increase the software quality, and can be combined with commercial application life cycle management tools, which are already used in the automotive industry.","2166-6822","978-1-5386-6095-9","10.1109/ICCE-Berlin.2018.8576212","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8576212","automotive;software;development tools;IDE;ALM;continuous integration;automated testing","Tools;Software;Automotive engineering;Servers;Testing;Pipelines;Industries","automobile industry;mechanical engineering computing;program diagnostics;public domain software;software maintenance;software quality","automotive software development environment;open source technologies;automotive industry;software releases;testing;error checking;software quality;automotive development software;dynamic analysis;static analysis","","","","5","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"Measuring and Understanding the Effectiveness of JIRA Developers Communities","M. Ortu; G. Destefanis; M. Kassab; M. Marchesi","DIEE, University of Cagliari, Italy; CRIM, Computer Research Institute of Montreal, Canada; The Pennsylvania State University, Malvern, PA; DIEE, University of Cagliari, Italy","2015 IEEE/ACM 6th International Workshop on Emerging Trends in Software Metrics","6 Aug 2015","2015","","","3","10","Tools for project management and issues/bugs tracking are becoming useful for governing the development process of Open Source software. Such tools simplify the communications process among developers and ensure the scalability of a project. The more information developers are able to exchange, the clearer are the goals, and the higher is the number of developers keen on joining and actively collaborating on a project. In this paper we present a preliminary empirical analysis of the communities-structure of developers in JIRA by analyzing 7 popular projects hosted in the repository. We analyze how these communities perform in terms of issue-resolution time of any given issue. The main contributions of this work are the confirmation of the existence of communities in developer networks, and the empirical finding that the issue resolution-time of any given issue is not correlated with the dimension of a developer community.","2327-0969","978-1-4673-7103-2","10.1109/WETSoM.2015.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7181585","Empirical Software Engineering;Mining Software Repositories","Communities;Maintenance engineering;Open source software;Productivity;Electronic mail;Project management","public domain software;software engineering","JIRA developers communities;project management;open source software","","21","","27","IEEE","6 Aug 2015","","","IEEE","IEEE Conferences"
"Where to Go Now? Finding Alternatives for Declining Packages in the npm Ecosystem","S. Mujahid; D. E. Costa; R. Abdalkareem; E. Shihab","Mozilla Corporation, Montreal, Canada; Université du Québec à Montréal, Montreal, Canada; Omar Al-Mukhtar University, Bayda, Libya; Concordia University, Montreal, Canada","2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE)","8 Nov 2023","2023","","","1628","1639","Software ecosystems (e.g., npm, PyPI) are the backbone of modern software developments. Developers add new packages to ecosystems every day to solve new problems or provide alternative solutions, causing obsolete packages to decline in their importance to the community. Packages in decline are reused less over time and may become less frequently maintained. Thus, developers usually migrate their dependencies to better alternatives. Replacing packages in decline with better alternatives requires time and effort by developers to identify packages that need to be replaced, find the alternatives, asset migration benefits, and finally, perform the migration. This paper proposes an approach that automatically identifies packages that need to be replaced and finds their alternatives supported with real-world examples of open source projects performing the suggested migrations. At its core, our approach relies on the dependency migration patterns performed in the ecosystem to suggest migrations to other developers. We evaluated our approach on the npm ecosystem and found that 96% of the suggested alternatives are accurate. Furthermore, by surveying expert JavaScript developers, 67% of them indicate that they will use our suggested alternative packages in their future projects.","2643-1572","979-8-3503-2996-4","10.1109/ASE56229.2023.00119","Concordia University's Research Ethics Board(grant numbers:3000472); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298593","Dependency Suggestions;Dependency Quality;Package in decline;Dependency;npm;JavaScript","Codes;Ecosystems;Semantics;Maintenance engineering;Market research;Software;Software engineering","","","","","","59","IEEE","8 Nov 2023","","","IEEE","IEEE Conferences"
"Complex Network Analysis in a Software Ecosystem: Studying the Eclipse Community","H. Guercio; V. Stroele; J. M. N. David; R. Braga; F. Campos","PGCC, Federal University of Juiz de Fora Juiz, de Fora, Brazil; PGCC, Federal University of Juiz de Fora Juiz, de Fora, Brazil; PGCC, Federal University of Juiz de Fora Juiz, de Fora, Brazil; PGCC, Federal University of Juiz de Fora Juiz, de Fora, Brazil; PGCC, Federal University of Juiz de Fora Juiz, de Fora, Brazil","2018 IEEE 22nd International Conference on Computer Supported Cooperative Work in Design ((CSCWD))","16 Sep 2018","2018","","","618","623","In the information age, people are getting more and more connected. In this context, collaborative activities are accomplished in different domains, and their relations allow researchers to model them as complex networks in order to obtain insights and competitive advantage. Software Ecosystems are emerging as a new way to contribute to developing and maintaining software through an active community of engaged users. Recognizing how users collaborate is a complex task that can help understand the network. This paper aims at analyzing a Software Ecosystem through its social layer. To this end, different complex networks were modeled using data extracted from the Eclipse ecosystem version control system. The networks represent interactions among users and projects. The network analyses conducted indicate the viability of using this approach to recognize important contributors in the ecosystem.","","978-1-5386-1482-2","10.1109/CSCWD.2018.8465170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465170","","Ecosystems;Software;Collaboration;Mathematical model;Data mining;Complex networks;Data models","complex networks;object-oriented programming;public domain software;software maintenance;software prototyping","software maintenance;complex network analysis;network analyses;Eclipse ecosystem version control system;complex task;engaged users;active community;collaborative activities;information age;eclipse community;software ecosystem","","1","","14","IEEE","16 Sep 2018","","","IEEE","IEEE Conferences"
"How do Developers Really Feel About Bug Fixing? Directions for Automatic Program Repair","E. Winter; D. Bowes; S. Counsell; T. Hall; S. Haraldsson; V. Nowack; J. Woodward","School of Computing and Communications, Lancaster University, Lancaster, U.K.; School of Computing and Communications, Lancaster University, Lancaster, U.K.; Department of Computer Science, Brunel University of London, Uxbridge, U.K.; School of Computing and Communications, Lancaster University, Lancaster, U.K.; Department of Computing Science and Mathematics, University of Stirling, Stirling, U.K.; School of Computing and Communications, Lancaster University, Lancaster, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.","IEEE Transactions on Software Engineering","18 Apr 2023","2023","49","4","1823","1841","Automatic program repair (APR) is a rapidly advancing field of software engineering that aims to supplement or replace manual bug fixing with an automated tool. For APR to be successfully adopted in industry, it is vital that APR tools respond to developer needs and preferences. However, very little research has considered developers’ general attitudes to APR or developers’ current bug fixing practices (the activity APR aims to replace). This article responds to this gap by reporting on a survey of 386 software developers about their bug finding and fixing practices and experiences, and their instinctive attitudes towards APR. We find that bug finding and fixing is not necessarily as onerous for developers as has often been suggested, being rated as more satisfying than developers’ general work. The fact that developers derive satisfaction and benefit from bug fixing indicates that APR adoption is not as simple as APR replacing an unwanted activity. When it comes to potential APR approaches, we find a strong preference for developers being kept in the loop (for example, choosing between different fixes or validating fixes) as opposed to a fully automated process. This suggests that advances in APR should be careful to consider the agency of the developer, as well as what information is presented to developers alongside fixes. It also indicates that there are key barriers related to trust that would need to be overcome for full scale APR adoption, supported by the fact that even those developers who stated that they were positive about APR listed several caveats and concerns. We find very few statistically significant relationships between particular demographic variables (for example, developer experience, age, education) and key attitudinal variables, suggesting that developers’ instinctive attitudes towards APR are little influenced by experience level but are held widely across the developer community.","1939-3520","","10.1109/TSE.2022.3194188","Engineering and Physical Sciences Research Council(grant numbers:EP/S005730/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842369","","Computer bugs;Software;Debugging;Automation;Maintenance engineering;Task analysis;Manuals","program debugging;program testing;software engineering","activity APR;APR tools;automatic program repair;bug finding;developer community;developer experience;fixing practices;manual bug fixing;scale APR adoption","","2","","60","CCBY","27 Jul 2022","","","IEEE","IEEE Journals"
"Web services container reference architecture (WSCRA)","A. Dhesiaseelan; A. Ragunathan","Hewlett Packard Company, USA; Hewlett Packard Company, USA","Proceedings. IEEE International Conference on Web Services, 2004.","19 Jul 2004","2004","","","806","807","Today, Web services are pervasive and omnipresent in the Internet and within enterprises. Even though there are massive Web services specifications development underway, early adoption by developers and tool vendors is becoming a need. The potential growth of this technology is highly predictable because of its universal acceptance and use among the developer community. This industry may expect to grow enormously based on the support from various communities that benefit from this technology. Researches are carried out in various standards bodies on various aspects of Web services such as definition, architecture, security, discovery, interoperability, etc. As we are committed to the success of this technology, we need to research on service oriented containers that makes Web services potential more constructive. This paper proposes a container for Web services which can manage and monitor the state and behavior of Web services, which may address the quality of service (QoS) factor for Web services.","","0-7695-2167-3","10.1109/ICWS.2004.1314828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1314828","","Web services;Containers;Service oriented architecture;Security;Monitoring;Quality of service;Collaboration;Proposals;Availability;Companies","open systems;security of data;Internet;quality of service;formal specification;system monitoring;software maintenance;ubiquitous computing","Web service container reference architecture;WSCRA;pervasive computing;Internet;Web service specification;Web service definition;Web service security;Web service discovery;Web service interoperability;service oriented containers;Web service behavior manage;state monitoring;quality of service;QoS factor;legacy systems","","14","","4","IEEE","19 Jul 2004","","","IEEE","IEEE Conferences"
"Runtime Permission Issues in Android Apps: Taxonomy, Practices, and Ways Forward","Y. Wang; Y. Wang; S. Wang; Y. Liu; C. Xu; S. -C. Cheung; H. Yu; Z. Zhu","Software College, Northeasthern University, Shenyang, Liaoning, China; Software College, Northeasthern University, Shenyang, Liaoning, China; Department of Computer Science and Engineering, Research Institute of Trustworthy Autonomous Systems, Guangdong Provincial Key Laboratory of Brain-inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, Guangdong, China; Department of Computer Science and Engineering, Research Institute of Trustworthy Autonomous Systems, Guangdong Provincial Key Laboratory of Brain-inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, Guangdong, China; Department of Computer Science and Technology, State Key Lab for Novel Software Technology, Nanjing University, Nanjing, Jiangsu, China; The Hong Kong University of Science and Technology, Hong Kong; Software College, Northeasthern University, Shenyang, Liaoning, China; Software College, Northeasthern University, Shenyang, Liaoning, China","IEEE Transactions on Software Engineering","6 Jan 2023","2023","49","1","185","210","Android introduces a new permission model that allows apps to request permissions at runtime rather than at the installation time since 6.0 (Marshmallow, API level 23). While this runtime permission model provides users with greater flexibility in controlling an app's access to sensitive data and system features, it brings new challenges to app development. First, as users may grant or revoke permissions at any time while they are using an app, developers need to ensure that the app properly checks and requests required permissions before invoking any permission-protected APIs. Second, Android's permission mechanism keeps evolving and getting customized by device manufacturers. Developers are expected to comprehensively test their apps on different Android versions and device models to make sure permissions are properly requested in all situations. Unfortunately, these requirements are often impractical for developers. In practice, many Android apps suffer from various runtime permission issues (ARP issues). While existing studies have explored ARP issues, the understanding of such issues is still preliminary. To better characterize ARP issues, we performed an empirical study using 135 Stack Overflow posts that discuss ARP issues and 199 real ARP issues archived in popular open-source Android projects on GitHub. Via analyzing the data, we observed 11 types of ARP issues that commonly occur in Android apps. For each type of issues, we systematically studied: (1) how they can be manifested, (2) how pervasive and serious they are in real-world apps, and (3) how they can be fixed. We also analyzed the evolution trend of different types of issues from 2015 to 2020 to understand their impact on the Android ecosystem. Furthermore, we conducted a field survey and in-depth interviews among the practitioners from open-source community and industry, to gain insights from practitioners’ practices and learn their requirements of tools that can help combat ARP issues. Finally, to understand the strengths and weaknesses of the existing tools that can detect ARP issues, we built ARPBench, an open benchmark consisting of 94 real ARP issues, and evaluated the performance of three available tools. The experimental results indicate that the existing tools have very limited supports for detecting our observed issue types and report a large number of false alarms. We further analyzed the tools’ limitations and summarized the challenges of designing an effective ARP issue detection technique. We hope that our findings can shed light on future research and provide useful guidance to practitioners.","1939-3520","","10.1109/TSE.2022.3148258","National Natural Science Foundation of China(grant numbers:61932021,62141210,61902056,61802164,61977014); The Hong Kong RGC/GRF(grant numbers:16211919); MSRA(grant numbers:MHP/055/19,PiH/255/21); Guandong Basic and Applied Basic Research Fundation(grant numbers:2021A1515011562); Guangdong Provincial Key Laboratory(grant numbers:2020B121201001); Shenyang Young and Middle-aged Talent Support Program(grant numbers:ZX20200272); Open Fund of State Key Laboratory for Novel Software Technology; Nanjing University(grant numbers:KFKT2021B01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9705152","Runtime permission;Android apps;empirical study","Runtime;Interviews;Open source software;Taxonomy;Task analysis;Systematics;Software development management","Android (operating system);application program interfaces;mobile computing;public domain software;smart phones","Android apps;Android's permission mechanism;app development;app properly checks;ARP issues;effective ARP issue detection technique;permission-protected APIs;runtime permission issues;runtime permission model","","3","","112","IEEE","4 Feb 2022","","","IEEE","IEEE Journals"
